 

Application Id,Country,Settled Downloads,Developer Revenue, Currency
"PodSnatcher (1.0.0)","Germany",1,0.57,EUR
"PodSnatcher (1.0.0)","United States",13,9.01,USD
"PodSnatcher (1.0.1)","United Kingdom",7,3.65,EUR
"PodSnatcher (1.0.1)","Austria",1,0.57,EUR
"PodSnatcher (1.0.1)","Germany",8,4.59,EUR
"PodSnatcher (1.0.1)","Spain",1,0.57,EUR
"PodSnatcher (1.0.1)","France",1,0.57,EUR
"PodSnatcher (1.0.1)","Canada",4,2.76,USD
"PodSnatcher (1.0.1)","United States",61,42.27,USD
"PodSnatcher (1.0.2)","United Kingdom",5,2.61,EUR
"PodSnatcher (1.0.2)","Germany",13,7.46,EUR
"PodSnatcher (1.0.2)","France",4,2.30,EUR
"PodSnatcher (1.0.2)","Canada",3,2.08,USD
"PodSnatcher (1.0.2)","United States",197,136.52,USD
